# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       32.188     2616.035
       0.201       25.350      145.316    35637.688
       0.401       26.600      219.586    35637.688
       0.602       29.083      283.047    35637.688
       0.802       23.275      302.914    35838.758
       1.003       35.308      346.711    35842.758
       1.203       38.642      364.820    35911.766
       1.404       38.225      378.504    35912.031
       1.604       31.575      382.898    35914.031
       1.805       35.742      391.637    35982.047
       2.006       34.900      401.012    36178.188
       2.206       32.000      405.312    36438.219
       2.407       28.242      413.102    37289.281
       2.607        2.908      413.441    37289.281
       2.809        0.000      413.441    37289.281
       3.010        0.000      413.441    37289.281
       3.212        0.000      413.441    37289.281
       3.413        0.000      413.441    37289.281
       3.614       51.367      415.688    37289.281
       3.815       64.358      419.816    37291.281
       4.016       63.533      421.184    37291.281
       4.216       63.125      428.676    37291.281
       4.417       64.358      430.211    37291.281
       4.618       61.017      432.961    37291.414
       4.818       57.317      434.055    37291.414
       5.019        2.900      435.070    37291.414
       5.221        0.000      435.070    37291.414
       5.422        0.000      435.070    37291.414
       5.623        0.000      435.070    37291.414
       5.824        0.000      435.070    37291.414
