# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       43.273     2743.609
       0.201       26.592      148.316     3122.629
       0.401       27.008      235.453     3223.629
       0.602       28.658      288.391     3271.629
       0.802       22.433      305.113     3340.684
       1.003       41.508      340.902     3476.699
       1.204       35.708      359.090     3545.703
       1.405       37.800      366.645     3547.703
       1.605       29.083      374.988     3551.703
       1.805       34.108      381.941     3556.719
       2.006       24.933      387.680     3559.719
       2.207       29.508      392.016     4013.758
       2.407       30.750      397.879     4863.820
       2.608        7.875      399.195     4865.820
       2.809        0.000      399.195     4865.820
       3.010        0.000      399.195     4865.820
       3.211        0.000      399.195     4865.820
       3.413        0.000      399.195     4865.820
       3.613       39.042      401.336     4865.820
       3.814       64.358      407.383     4868.820
       4.015       65.950      408.930     4868.820
       4.216       64.383      412.070     4870.820
       4.416       62.717      419.633     4871.820
       4.617       61.058      420.871     4871.820
       4.817       59.433      422.156     4871.953
       5.018       16.208      424.328     4873.953
       5.219        0.417      424.328     4873.953
       5.420        0.000      424.328     4873.953
       5.621        0.000      424.328     4873.953
       5.822        0.417      424.328     4873.953
