# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       50.320     2641.977
       0.200       22.450      138.898     2996.996
       0.401       22.025      217.605     3300.059
       0.601       22.450      282.336     3889.117
       0.802        9.133      300.398     3954.121
       1.003        5.817      308.211     3956.121
       1.203        3.733      313.660     3956.121
       1.404        0.000      313.660     3956.121
       1.606        0.000      313.660     3956.121
       1.807        0.000      313.660     3956.121
       2.008        0.000      313.660     3956.121
       2.209       39.892      334.684     4284.141
       2.409       66.058      354.898     4350.145
       2.610       66.475      361.762     4351.145
       2.811       65.225      373.902     4353.145
       3.011       58.992      382.484     4356.145
       3.212       24.925      386.066     4358.145
       3.412        9.558      386.066     4358.145
       3.613        0.000      386.066     4358.145
       3.814        0.000      386.066     4358.145
       4.015        0.000      386.066     4358.145
