# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       43.324     3241.543
       0.201       19.942      116.918     3450.551
       0.401       27.833      218.973     3637.555
       0.602       24.100      286.402     4288.625
       0.802       26.592      318.043     4288.625
       1.003       28.258      349.941     4290.625
       1.203       27.833      362.324     4355.629
       1.404       27.008      376.594     4357.629
       1.604       19.533      385.176     4359.633
       1.805       20.367      392.027     4363.633
       2.005       22.025      397.262     4755.656
       2.206       27.842      403.848     5016.672
       2.407       26.592      420.258     5150.688
       2.607       25.317      427.246     5414.715
       2.808       50.250      435.574     5742.734
       3.009       44.867      443.680     6011.801
       3.209       42.833      451.961     6344.938
       3.410       41.950      468.074     6410.941
       3.610       37.817      472.242     6478.078
       3.811       31.575      481.738     6549.082
       4.011       28.242      486.426     6553.355
       4.212       36.125      492.348     6621.359
       4.413       24.100      495.336     6621.359
       4.614       30.692      498.672     6624.359
       4.814       24.092      504.738     6696.348
       5.015       24.100      510.012     6698.215
       5.215       28.667      515.914     6700.383
       5.416       24.517      543.375     6700.383
       5.616       30.742      549.406     6770.219
       5.817       32.833      554.387     6773.219
       6.018       36.975      559.602     6778.484
       6.218       24.100      565.766     6780.484
       6.419       20.775      571.879     6785.352
       6.619       25.342      575.980     6787.352
       6.820       29.075      578.398     6852.355
       7.020       25.758      582.324     6920.359
       7.221       25.758      585.523     6922.359
       7.421       22.033      588.004     6924.359
       7.622       25.758      591.156     7055.367
       7.823       39.033      593.816     7057.500
       8.023       29.492      596.957     7058.367
       8.224       35.733      600.281     7190.508
       8.424       25.342      603.363     7191.375
       8.625       34.500      605.617     7321.383
       8.825       14.125      609.164     7323.383
       9.026        0.417      609.164     7323.383
       9.228        0.825      609.398     7323.383
       9.429        0.000      609.398     7323.383
       9.630        0.000      609.398     7323.383
       9.831        5.392      609.488     7388.387
      10.031       63.533      614.469     7524.395
      10.232       68.492      616.059     7524.395
      10.433       66.467      622.473     7528.395
      10.633       66.467      624.719     7529.395
      10.834       66.442      627.566     7529.395
      11.035       66.033      630.512     7530.395
      11.235       64.800      632.367     7530.395
      11.436       66.000      635.238     7532.395
      11.637       65.225      636.852     7532.395
      11.837       64.342      642.242     7599.398
      12.038       65.583      643.594     7599.398
      12.239       63.125      649.445     7667.402
      12.439       63.133      652.051     7669.535
      12.640       56.858      654.676     7670.402
      12.841       54.375      657.996     7672.402
      13.042       28.658      658.766     7672.402
      13.242        4.983      659.012     7672.402
      13.443        0.000      659.012     7672.402
      13.644        0.000      659.047     7672.402
      13.845        0.000      659.047     7672.402
