# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.961     2641.977
       0.201       25.350      167.875     3022.996
       0.401       21.200      235.734     3107.996
       0.602       17.875      294.527     3167.996
       0.802       23.283      321.816     3235.000
       1.002       27.433      367.191     3440.062
       1.203       12.467      380.105     3509.066
       1.403        9.142      385.367     4295.156
       1.604        0.000      385.367     4295.156
       1.805        0.000      385.367     4295.156
       2.006        0.000      385.367     4295.156
       2.207       12.450      397.098     4303.273
       2.408       15.783      406.094     4305.273
       2.609        0.000      406.094     4305.273
       2.810        0.000      406.094     4305.273
       3.011        0.000      406.094     4305.273
       3.212        0.000      406.094     4305.273
       3.413       12.450      407.547     4435.281
       3.614       59.833      413.559     4567.289
       3.814       60.675      419.227     4569.289
       4.015       66.467      424.387     4569.289
       4.215       63.967      428.012     4569.289
       4.416       56.908      431.535     4571.289
       4.617       65.208      433.621     4571.289
       4.818       57.242      436.715     4575.289
       5.018       56.092      436.973     4575.289
       5.219       43.217      436.973     4575.289
       5.419        3.733      436.973     4575.289
       5.620        0.000      436.973     4575.289
       5.822        0.000      436.973     4575.289
       6.023        0.000      436.973     4575.289
