# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       58.031    35922.320
       0.200       24.108      151.715    36119.332
       0.401       27.433      260.645    36704.402
       0.601       28.267      306.926    36704.402
       0.802       33.667      366.199    36706.402
       1.002       29.508      387.805    36773.406
       1.203       21.625      403.719    36775.406
       1.403       20.367      409.633    37235.438
       1.604       33.242      427.844    37561.461
       1.804       41.133      439.930    38022.500
       2.005       44.050      452.434    38686.973
       2.205       45.700      466.676    38819.117
       2.406       33.658      475.547    38886.121
       2.606       45.292      487.535    38951.125
       2.807       34.067      492.172    38953.535
       3.008       37.400      497.211    39085.543
       3.208       37.400      500.859    39087.543
       3.409       29.508      506.922    39094.668
       3.609       33.233      513.047    39161.672
       3.810       29.917      517.547    39163.945
       4.010       27.433      524.555    39165.945
       4.211       30.367      550.102    39233.270
       4.411       31.167      553.625    39235.270
       4.612       36.167      557.953    39237.406
       4.812       34.917      564.762    39239.543
       5.013       18.283      570.199    39243.543
       5.213       32.000      573.742    39245.543
       5.414       22.033      578.895    39377.824
       5.614       34.908      582.543    39379.824
       5.815       24.942      590.180    39382.098
       6.015       33.658      594.375    39514.105
       6.216       38.233      599.355    39514.379
       6.416       33.250      601.340    39516.379
       6.617       38.642      602.598    39711.391
       6.817       37.400      605.699    39713.527
       7.018       12.450      609.469    39713.527
       7.219        0.000      609.469    39713.527
       7.420        0.000      609.469    39713.527
       7.621        0.000      609.469    39713.527
       7.822        0.000      609.469    39713.527
       8.023       19.100      610.297    39912.539
       8.223       66.050      613.523    39912.676
       8.424       66.475      618.594    39914.676
       8.624       61.942      620.789    39914.812
       8.825       64.808      623.469    39916.812
       9.025       65.658      625.898    39916.812
       9.226       64.383      629.078    39916.812
       9.427       65.650      631.152    39916.812
       9.627       65.217      632.898    39916.812
       9.828       63.133      635.375    39916.812
      10.028       63.575      638.391    39916.812
      10.229       54.417      639.695    39917.082
      10.430       35.292      640.660    39917.082
      10.630        0.000      640.660    39917.082
      10.832        0.000      640.660    39917.082
      11.033        2.483      641.016    39917.082
      11.234        0.000      641.016    39917.082
