# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       70.973     3392.551
       0.201       21.608      144.027     3547.555
       0.401       31.175      238.828     4248.625
       0.602       24.933      294.129     4288.625
       0.802       23.683      316.621     4288.625
       1.003       31.992      348.559     4355.629
       1.203       25.342      361.723     4355.629
       1.404       23.275      370.543     4358.633
       1.604       21.608      377.910     4361.633
       1.805       18.700      383.719     4363.633
       2.006       24.925      388.336     5015.672
       2.206       30.742      399.117     5018.672
       2.407       29.092      419.242     5150.688
       2.607       35.725      426.977     5417.715
       2.808       46.542      437.195     6008.801
       3.008       43.208      446.574     6014.801
       3.209       49.433      461.750     6345.938
       3.410       34.900      468.867     6479.945
       3.610       33.233      475.359     6484.219
       3.811       30.742      479.641     6550.223
       4.011       25.750      482.672     6552.223
       4.212       27.833      488.094     6554.223
       4.412       21.608      493.441     6628.078
       4.613       25.750      498.934     6630.078
       4.814       27.000      503.867     6631.078
       5.014       26.983      519.242     6633.078
       5.215       29.908      530.070     6700.250
       5.416       34.067      533.438     6702.215
       5.616       34.067      537.090     6964.230
       5.817       25.350      539.047     7029.234
       6.017        9.975      539.797     7031.234
       6.218       10.808      542.562     7033.234
       6.419        1.242      542.562     7033.234
       6.619        0.000      542.562     7033.234
       6.821        0.000      542.562     7033.234
       7.022        0.000      542.562     7033.234
       7.223       48.133      543.832     7230.246
       7.423       66.442      548.531     7233.246
       7.624       66.867      550.020     7233.246
       7.825       65.633      552.730     7235.246
       8.025       66.883      555.043     7235.246
       8.226       64.808      559.930     7236.246
       8.427       64.375      562.633     7236.246
       8.627       63.533      566.832     7238.246
       8.828       61.033      571.633     7239.246
       9.029       45.675      571.887     7239.246
       9.229        2.492      572.145     7239.379
       9.431        0.000      572.145     7239.379
       9.632        0.000      572.145     7239.379
       9.833        0.417      572.234     7239.379
