# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       51.168    35506.676
       0.201       21.192      127.223    35572.680
       0.401       21.200      173.887    35637.688
       0.602       22.442      224.238    35775.746
       0.802       23.683      274.164    36559.836
       1.003        6.642      276.414    36561.836
       1.204        0.000      276.566    36626.840
       1.405        0.000      276.566    36626.840
       1.606        0.000      276.566    36626.840
       1.808        0.000      276.566    36626.840
       2.009       29.458      280.363    36823.855
       2.209       68.108      320.938    36891.859
       2.410       67.708      341.746    36891.859
       2.611       67.683      361.633    36891.859
       2.811       65.633      370.500    36891.859
       3.012       65.208      375.184    36891.859
       3.212       57.733      383.738    36891.859
       3.413        5.392      383.738    36891.859
       3.614        0.000      383.738    36891.859
       3.815        0.000      383.738    36891.859
       4.017        0.000      383.738    36891.859
       4.218        0.000      383.738    36891.859
