# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       46.645    35506.676
       0.201       24.100      154.438    35637.688
       0.401       28.258      244.852    35637.688
       0.602       29.883      297.387    35703.691
       0.802       26.592      327.586    35703.691
       1.003       34.900      352.395    35904.895
       1.204       42.350      371.434    35973.898
       1.404       34.067      381.863    35976.031
       1.605       34.883      388.711    35976.031
       1.806       27.833      397.309    35978.031
       2.006       28.650      402.352    35982.047
       2.207       36.150      407.453    35982.047
       2.407       35.742      415.285    35984.312
       2.608       34.900      420.316    35986.312
       2.809       35.725      427.234    36442.750
       3.009       42.392      435.133    36645.785
       3.210       41.492      442.066    36647.898
       3.411       45.275      446.766    37691.961
       3.611       36.542      452.738    37693.961
       3.812       22.858      456.488    37693.961
       4.012       27.017      459.961    37695.961
       4.213       29.500      465.750    37763.098
       4.413       30.750      468.668    37765.098
       4.614       22.425      475.648    37767.363
       4.815        2.483      475.812    37767.363
       5.016        0.000      475.812    37767.363
       5.217        7.875      476.520    37767.363
       5.418        0.000      476.520    37767.363
       5.619        0.417      476.520    37767.363
       5.820        0.000      476.520    37767.363
       6.021        0.000      476.520    37767.363
       6.222        0.000      476.520    37767.363
       6.423        0.000      476.520    37767.363
       6.624        2.492      287.484    37767.363
       6.825       66.425      274.461    37831.363
       7.026       66.058      362.477    37831.363
       7.226       58.983      392.820    37833.363
       7.427       63.908      425.336    37833.363
       7.628       65.600      437.152    37833.363
       7.830       56.817      452.195    37833.363
       8.031       67.258      458.172    37833.363
       8.231       54.417      468.438    37835.363
       8.432       67.283      475.016    37835.363
       8.633       54.408      477.410    37835.363
       8.833       66.433      481.906    37835.363
       9.034       50.258      483.492    37835.363
       9.235       62.717      484.863    37835.363
       9.435       45.708      488.055    37835.363
       9.636       54.008      488.402    37835.363
       9.837       15.767      488.535    37835.363
      10.038        0.000      488.535    37835.363
      10.239        0.000      488.535    37835.363
      10.440        0.000      488.535    37835.363
      10.641        0.000      488.535    37835.363
