# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       44.766     2743.609
       0.201       24.508      156.895     3121.629
       0.401       31.992      265.445     3248.629
       0.602       29.925      302.840     3271.629
       0.802       20.775      321.133     3271.629
       1.003       34.908      343.449     3473.699
       1.203       41.533      364.426     3542.703
       1.404       33.225      371.801     3546.703
       1.605       30.742      379.914     3546.703
       1.806       25.283      385.727     3550.703
       2.006       32.825      391.148     3554.719
       2.207       24.933      396.039     3555.719
       2.408       31.558      401.531     3558.719
       2.608       23.208      406.422     3754.727
       2.809       34.058      412.934     4212.777
       3.010       39.467      419.109     4214.777
       3.210       41.142      424.055     4225.039
       3.411       42.792      430.125     5267.969
       3.612       26.167      434.414     5269.969
       3.812       22.025      441.516     5273.969
       4.013       23.692      444.012     5340.973
       4.213       24.933      446.914     5340.973
       4.414       19.117      453.824     5345.973
       4.614        9.550      455.145     5347.973
       4.816        0.000      455.145     5347.973
       5.017        0.000      455.145     5347.973
       5.218        0.000      455.145     5347.973
       5.419        0.000      455.145     5347.973
       5.620       29.883      459.070     5347.973
       5.821       62.317      462.645     5348.973
       6.021       65.617      464.914     5348.973
       6.222       58.167      468.117     5352.973
       6.422       55.683      469.379     5352.973
       6.623       66.875      472.676     5353.973
       6.824       54.375      473.320     5354.105
       7.024       69.775      474.449     5354.105
       7.225       53.150      476.621     5356.973
       7.426       66.858      477.562     5356.973
       7.626       53.150      481.496     5359.973
       7.827       66.425      482.605     5359.973
       8.028       56.492      484.004     5360.105
       8.228       54.433      489.273     5365.105
       8.429       53.600      490.105     5365.105
       8.629       39.058      492.168     5368.105
       8.830        1.242      492.168     5368.105
       9.031        0.000      492.168     5368.105
       9.232        0.000      492.168     5368.105
       9.433        0.000      492.168     5368.105
