# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       37.766    35434.672
       0.201       22.442      128.156    35638.684
       0.401       20.367      172.672    35638.684
       0.602       18.700      218.543    35705.691
       0.802       16.208      262.105    35709.691
       1.003       31.167      307.938    35845.750
       1.203       23.683      336.801    35987.902
       1.404       17.042      357.207    35991.902
       1.604       14.133      373.930    36254.914
       1.805       20.342      388.574    36843.980
       2.006       23.683      403.156    36843.980
       2.206        0.000      403.156    36843.980
       2.407        0.000      403.156    36843.980
       2.608        0.000      403.156    36843.980
       2.809        0.000      403.156    36843.980
       3.010        7.058      161.801    37103.992
       3.211       58.150      215.652    37171.996
       3.412       67.242      300.727    37171.996
       3.612       58.125      338.383    37304.012
       3.813       67.292      377.754    37304.012
       4.014       66.025      399.168    37304.012
       4.214       65.617      417.438    37304.012
       4.415       65.142      428.273    37304.012
       4.616       63.933      435.316    37304.012
       4.817       63.142      441.637    37304.012
       5.017       56.075      442.730    37304.012
       5.218       54.425      446.527    37304.012
       5.419       27.800      446.969    37304.012
       5.619        0.000      446.969    37304.012
       5.821        0.000      446.969    37304.012
       6.022        0.000      446.969    37304.012
       6.222        0.000      446.969    37304.012
